Dates,Pollster,Sample,Influence,Democrats,Republicans,Net
"2/20 - 2/23, 2026@@24160",<a href='https://www.americaonepolicies.com/polls/attitudes-on-iran-the-economy-and-affordability'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>GrayHouse</a>^Sponsor: America One Policies^,"1,394 RV@@1394",0.7665241,43,40,3
"3/2 - 3/4, 2026@@24169",<a href='https://napolitannews.org/posts/generic-ballot-dem-44-percent-gop-43-dems-also-more-enthusiastic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"2,000 RV@@2000",0.762832,46,46,0
"1/22 - 1/26, 2026@@24132",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/January-2026-Voter-Omnibus-Topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,029 LV@@1029",0.7626151,49,44,5
"1/13 - 1/20, 2026@@24126",<a href='https://www.kff.org/public-opinion/kff-health-tracking-poll-health-care-costs-expiring-aca-tax-credits-and-the-2026-midterms/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>KFF</a>,"1,141 RV@@1141",0.7549314,49,42,7
"1/27 - 1/28, 2026@@24134",<a href='https://www.cygn.al/wp-content/uploads/2026/02/Cygnal-Deportation-Poll-Data.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,004 LV@@1004",0.753151,48,44,4
"1/7 - 1/8, 2026@@24114",<a href='https://www.cygn.al/polls/january-2026-national-voter-trends-nvt-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.7102677,48.2,44.6,3.600002
"1/15 - 1/22, 2026@@24128",<a href='https://www.claritycampaigns.com/clarity-omnibus-jan-2026'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,147 LV@@1147",0.6788009,51,42,9
"2/13 - 2/19, 2026@@24156",<a href='https://www.scrippsnews.com/politics/scripps-news-talker-research-poll-high-interest-in-state-of-the-union-amid-economic-worries'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Talker Research</a>^Sponsor: Scripps News^,"1,000 A@@1000",0.6732649,42,36,6
"12/15 - 12/19, 2025@@24094",<a href='https://www.atlasintel.org/poll/usa-national-2025-12-19'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AtlasIntel</a>,"2,315 A@@2315",0.6725196,54.4,38.4,16
"1/23 - 1/26, 2026@@24132",<a href='https://www.focaldata.com/blog/cost-of-living-fuelling-democrat-strength-in-new-midterms-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Focaldata</a>,"1,709 LV@@1709",0.6583785,50,45,5
"1/8 - 1/12, 2026@@24118",<a href='https://www.winningtheissues.org/2026/01/27/2026-winning-the-issues-research/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Winston Group</a>^Sponsor: Winning the Issues^,"1,000 RV@@1000",0.6505249,46,43,3
"1/28 - 1/29, 2026@@24135",<a href='https://harvardharrispoll.com/key-results-january-6/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>HarrisX</a>^Sponsor: Harvard CAPS^,"1,508 LV@@1508",0.6309071,49.5,46,3.5
"1/8 - 1/13, 2026@@24119",<a href='https://www.wsj.com/politics/elections/trump-approval-rating-economy-poll-b3a62e57'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Impact Research/National Research </a>^Sponsor: Wall Street Journal^,"1,500 RV@@1500",0.6200242,47,43,4
"2/18 - 2/20, 2026@@24157",<a href='https://www.gelliottmorris.com/p/ahead-of-state-of-the-union-address'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,401 RV@@1401",0.6139552,52,42,10
"2/10 - 2/10, 2026@@24147",<a href='https://www.focaldata.com/blog/cost-of-living-fuelling-democrat-strength-in-new-midterms-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Focaldata</a>,957 LV@@957,0.6070246,51.1,43.6,7.5
"1/13 - 1/15, 2026@@24121",<a href='https://researchco.ca/2026/01/26/amendment/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Research Co.</a>,"1,002 A@@1002",0.5942106,42,36,6
"2/9 - 2/12, 2026@@24149",<a href='https://napolitannews.org/posts/generic-ballot-gop-44-percent-dem-41-but-dems-more-enthusiastic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"2,000 RV@@2000",0.5908059,45,47,-2
"1/29 - 1/30, 2026@@24136",<a href='https://e1.nmcdn.io/assets/ppp/wp-content/uploads/2026/01/January2026NationalSurvey.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Public Policy Polling</a>,652 RV@@652,0.59016,48,41,7
"2/18 - 2/23, 2026@@24160",<a href='https://www.reuters.com/world/us/most-americans-say-trump-is-growing-erratic-with-age-reutersipsos-poll-finds-2026-02-24/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"3,686 RV@@3686",0.5885434,40,38,2
"1/26 - 1/27, 2026@@24133",<a href='https://www.theargumentmag.com/p/immigration-is-turning-into-a-disaster'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"1,515 RV@@1515",0.5497321,52,48,4
"12/15 - 12/17, 2025@@24092",<a href='https://buildingamericasfuture.com/wp-content/uploads/2025/12/AI-Federal-Preemption-National-Voter-Survey-Memo.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio Ward</a>^Sponsor: Building America's Future^,"1,000 RV@@1000",0.5322029,45,38,7
"12/9 - 12/16, 2025@@24091",<a href='https://www.aarp.org/content/dam/aarp/research/topics/work-finances-retirement/financial-security-retirement/shes-the-difference-financial-security-annotated-questionnaire.doi.10.26419-2fres.01033.002.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights/GBAO</a>^Sponsor: AARP^,"2,023 LV@@2023",0.5233459,47,43,4
"1/13 - 1/14, 2026@@24120",<a href='https://drive.google.com/file/d/1iHoieThBdqtE4vH3gDLGzOI334wGWU6_/view'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Public Policy Polling</a>^Sponsor: Progress Action Fund (hybrid PAC)^,597 RV@@597,0.4869282,50,42,8
"1/9 - 1/12, 2026@@24118",<a href='https://www.cnn.com/2026/01/18/politics/cnn-poll-democrats-are-deeply-motivated-for-the-midterms-despite-having-dismal-views-of-party-leaders'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>CNN/SSRS</a>,968 RV@@968,0.4651998,46,41,5
"12/11 - 12/15, 2025@@24090",<a href='https://poll.qu.edu/poll-release?releaseid=3943'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Quinnipiac University</a>,"1,035 RV@@1035",0.4617777,47,43,4
"12/5 - 12/7, 2025@@24082",<a href='https://www.cygn.al/wp-content/uploads/2025/12/23448-Cygnal-National-Dec25-NVT-Deck-Public.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.449041,48,44.1,3.900002
"1/14 - 1/20, 2026@@24126",<a href='https://www.gelliottmorris.com/p/new-poll-trump-slips-on-immigration'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,057 LV@@1057",0.4294652,55,42,13
"2/12 - 2/17, 2026@@24154",<a href='https://www.washingtonpost.com/politics/2026/02/25/poll-democrats-trump-republicans-midterms/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: The Washington Post | ABC News^,"2,087 RV@@2087",0.4285286,47,45,2
"11/18 - 11/23, 2025@@24068",<a href='https://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot_dec03'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Rasmussen Reports</a>,"2,410 LV@@2410",0.4237715,45,42,3
"11/19 - 11/26, 2025@@24071",<a href='https://uploads.thirdway.org/downloads/food-medicine-fuel-for-a-wave/Third-WayGBAO-National-Framing-Survey-Toplines-November-2025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>GBAO</a>^Sponsor: Third Way^,"2,000 RV@@2000",0.4195011,48,42,6
"11/10 - 11/13, 2025@@24058",<a href='https://maristpoll.marist.edu/polls/a-look-to-the-2026-midterms-november-2025/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Marist University</a>^Sponsor: NPR | PBS News^,"1,291 RV@@1291",0.4133403,55,41,14
"12/11 - 12/15, 2025@@24090",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/December-2025-Omnibus-Topline-External.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,011 LV@@1011",0.4119475,48,45,3
"12/14 - 12/15, 2025@@24090",<a href='https://emersoncollegepolling.com/december-2025-national-poll-trumps-approval-flips-since-start-of-the-year/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>,"1,000 RV@@1000",0.4090677,43.5,41.7,1.799999
"12/30, 2025 - 1/1, 2026@@24107",<a href='https://independentcentervoice.com/insights/2026-tune-in-as-america-approaches-its-250th-voters-declare-the-status-quo-broken-and-demand-new-options'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Bullfinch Group</a>^Sponsor: Independent Center^,"1,000 RV@@1000",0.4043001,44,33,11
"11/5 - 11/12, 2025@@24057",<a href='https://law.marquette.edu/poll/2025/11/18/detailed-results-of-the-marquette-law-school-supreme-court-poll-nov-5-12-2025-national-issues/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Marquette University Law School</a>,602 LV@@602,0.403418,53,44,9
"1/5 - 1/8, 2026@@24114",<a href='https://napolitannews.org/posts/generic-ballot-gop-43-percent-dem-44'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"2,000 RV@@2000",0.3847492,47,46,1
"1/21 - 1/27, 2026@@24133",<a href='https://mclaughlinonline.com/pols/wp-content/uploads/2026/02/National-January-2026-Presentation-RELEASE-1-1.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.382144,46,44,2
"12/4 - 12/8, 2025@@24083",<a href='https://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2025/12/16/TOPLINES_250313_CNBC_AAES_Q4_2025_new.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,800 RV@@800,0.3564419,50,46,4
"12/6 - 12/8, 2025@@24083",<a href='https://www.americaonepolicies.com/polls/selling-the-one-big-beautiful-bill'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>GrayHouse</a>^Sponsor: America One Policies^,"2,058 RV@@2058",0.345348,45,41,4
"10/29 - 11/11, 2025@@24056",<a href='https://youthpoll.yale.edu/fall-2025-results'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Yale University Institution for Social and Policy Studies</a>,"3,426 RV@@3426",0.3328419,45,43,2
"11/19 - 11/25, 2025@@24070",<a href='https://jlpartners.com/nov25-rv'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>J.L. Partners</a>^Sponsor: DailyMail.com^,797 LV@@797,0.3263456,50,46,4
"10/2 - 10/6, 2025@@24020",<a href='https://www.thecentersquare.com/image_f6c02a7b-df0a-426c-b38e-7825e2b1cec6.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Noble Predictive Insights</a>^Sponsor: Center Square^,"2,565 RV@@2565",0.3190751,45,43,2
"11/5 - 11/6, 2025@@24051",<a href='https://www.cygn.al/poll-voters-say-less-socialism-more-stabilityeconomic-concerns-surge-heading-into-2026/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.3183193,50,44,6
"2/13 - 2/16, 2026@@24153",<a href='https://www.reuters.com/world/us/trumps-immigration-approval-hits-new-low-according-reutersipsos-poll-2026-02-17/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,846 RV@@846,0.2972706,41,37,4
"10/27 - 10/29, 2025@@24043",<a href='https://www.newsnationnow.com/polls/full-poll-results-newsnation-national-survey-trump/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>NewsNation</a>,"1,158 LV@@1158",0.2968552,47,47,0
"11/15 - 11/17, 2025@@24062",<a href='https://www.winningtheissues.org/2025/12/31/2025-winning-the-issues-research/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Winston Group</a>^Sponsor: Winning the Issues^,"1,000 RV@@1000",0.2891384,47,42,5
"11/10 - 11/14, 2025@@24059",<a href='https://www.highpoint.edu/src/files/2023/08/HPUPoll-115-and-116-Registered-Voters.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>High Point University Survey Research Center</a>,837 RV@@837,0.285816,48,39,9
"12/4 - 12/11, 2025@@24086",<a href='https://www.claritycampaigns.com/clarity-omnibus-dec-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,000 RV@@1000",0.2835277,49,44,5
"2/27 - 3/2, 2026@@24167",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ubu5DXD.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,366 RV@@1366",0.2777424,45,41,4
"10/16 - 10/20, 2025@@24034",<a href='https://poll.qu.edu/poll-release?releaseid=3938'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Quinnipiac University</a>,"1,327 RV@@1327",0.2703608,50,41,9
"11/13 - 11/17, 2025@@24062",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/November-2025-Voter-Omnibus-Topline-External.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,051 LV@@1051",0.2673842,49,45,4
"12/5 - 12/11, 2025@@24086",<a href='https://www.theargumentmag.com/p/have-democrats-lost-their-education'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"1,521 RV@@1521",0.2668826,50.6,49.4,1.199997
"9/22 - 9/27, 2025@@24011",<a href='https://www.nytimes.com/2025/09/30/polls/trump-approval-poll.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The New York Times/Siena College</a>,"1,313 RV@@1313",0.2541264,47,45,2
"11/6 - 11/10, 2025@@24055",<a href='https://www.survey160.com/methodological-research-blog/survey-160-tracking-poll-november-2025-update'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Survey160</a>,"1,513 RV@@1513",0.2516919,46,39,7
"11/3 - 11/4, 2025@@24049",<a href='https://emersoncollegepolling.com/november-2025-national-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>,"1,000 RV@@1000",0.2432719,43.5,40.1,3.400002
"11/21 - 11/25, 2025@@24070",<a href='https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q4-nationwide-survey-3'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Bullfinch Group</a>,"1,000 RV@@1000",0.2426456,41,35,6
"10/24 - 10/28, 2025@@24042",<a href='https://pos.org/wp-content/uploads/2025/11/NBC-News-October-2025-Poll-11-02-2025-Release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: NBC News^,"1,000 RV@@1000",0.2424362,50,42,8
"2/20 - 2/23, 2026@@24160",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_5ZLQm8s.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,402 RV@@1402",0.2408083,45,41,4
"10/7 - 10/8, 2025@@24022",<a href='https://www.cygn.al/poll-42-of-liberals-approve-of-law-breaking-in-response-to-disagreeing-with-a-government-action/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.2310642,47.5,45.3,2.200001
"11/7 - 11/10, 2025@@24055",<a href='https://www.the-downballot.com/p/new-poll-shows-democrats-best-path'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov Blue</a>,517 RV@@517,0.2250473,48,45,3
"10/15 - 10/26, 2025@@24040",<a href='https://www.winningtheissues.org/2025/12/31/2025-winning-the-issues-research/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Winston Group</a>^Sponsor: Winning the Issues^,"1,000 RV@@1000",0.220157,47,43,4
"12/1 - 12/4, 2025@@24079",<a href='https://napolitannews.org/posts/generic-ballot-gop-45-percent-dem-41'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan Institute^,"2,000 RV@@2000",0.2178621,44,48,-4
"2/13 - 2/16, 2026@@24153",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_usZL1Jt.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,512 RV@@1512",0.2154118,47,40,7
"1/23 - 1/25, 2026@@24131",<a href='https://www.reuters.com/data/trumps-approval-rating-2025-01-21/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,139 A@@1139",0.2128294,41,37,4
"1/12 - 1/13, 2026@@24119",<a href='https://www.reuters.com/data/which-party-do-americans-want-run-congress-2025-11-05/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,941 RV@@941,0.2037639,40,38,2
"2/13 - 2/18, 2026@@24155",<a href='https://scholarworks.bgsu.edu/cgi/viewcontent.cgi?article=1017&context=depo'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Bowling Green State University^,"1,200 RV@@1200",0.2001793,49,41,8
"10/14 - 10/15, 2025@@24029",<a href='https://jlpartners.com/trump-tracker-october-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>J.L. Partners</a>^Sponsor: DailyMail.com^,"1,005 RV@@1005",0.1984135,43,37,6
"2/16 - 2/22, 2026@@24159",<a href='https://pro.morningconsult.com/trackers/2026-midterm-election-generic-ballot-polls'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"26,087 RV@@26087",0.19731,45,42,3
"10/13 - 10/14, 2025@@24028",<a href='https://emersoncollegepolling.com/october-2025-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>,"1,000 RV@@1000",0.1937321,43.9,42.5,1.400002
"2/6 - 2/9, 2026@@24146",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_vNnwPx2.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,551 RV@@1551",0.1925733,44,38,6
"11/10 - 11/17, 2025@@24062",<a href='https://www.theargumentmag.com/p/2026-is-looking-terrible-for-republicans#footnote-1-179372962'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"1,508 RV@@1508",0.1900181,53,47,6
"10/16 - 10/20, 2025@@24034",<a href='https://echeloninsights.com/in-the-news/october-2025-verified-voter-omnibus-2/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,010 LV@@1010",0.1880017,47,46,1
"10/8 - 10/12, 2025@@24026",<a href='https://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2025/10/17/CNBC_All-America_Economic_Survey_Q3_2025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,800 RV@@800,0.1842124,48,47,1
"10/15 - 10/26, 2025@@24040",<a href='https://manhattan.institute/article/the-new-gop-survey-analysis-of-americans-overall-todays-republican-coalition-and-the-minorities-of-maga'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Manhattan Institute</a>,500 RV@@500,0.183478,47,44,3
"12/12 - 12/19, 2025@@24094",<a href='https://mclaughlinonline.com/2025/12/23/national-monthly-december-2025/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>McLaughlin & Associates</a>,"1,000 LV@@1000",0.1813647,46,45,1
"2/9 - 2/12, 2026@@24149",<a href='https://www.yahoo.com/news/politics/article/poll-trumps-approval-rating-hits-new-low-as-immigration-backlash-grows-and-ice-withdraws-from-minnesota-204723473.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,149 RV@@1149",0.1797317,44,41,3
"1/30 - 2/2, 2026@@24139",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_DDIQ8jz.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,504 RV@@1504",0.1696866,44,40,4
"12/3 - 12/8, 2025@@24083",<a href='https://www.reuters.com/data/trumps-approval-rating-2025-01-21/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"3,521 RV@@3521",0.1691912,40,39,1
"8/15 - 9/8, 2025@@23992","<a href='https://prri.org/research/trumps-unprecedented-actions-deepen-asymmetric-divides/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Public Religion Research Institute</a>^Sponsor: Brookings Institute, Carnegie Corporation of New York, Ford Foundation, Unitarian Universalist Veatch Program at Shelter Rock^","5,543 A@@5543",0.1628148,33,30,3
"9/6 - 9/13, 2025@@23997",<a href='https://www.realclearpolitics.com/articles/2025/09/19/generic_ballot_tracking_poll_republicans_narrow_dems_lead.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>NAIP</a>,"2,071 LV@@2071",0.1616732,45,43,2
"10/27 - 10/30, 2025@@24044",<a href='https://s3.documentcloud.org/documents/26211915/cnn-poll-trump-midterms-east-wing-parties.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>CNN/SSRS</a>,954 RV@@954,0.1603538,47,42,5
"10/16 - 10/23, 2025@@24037",<a href='https://www.claritycampaigns.com/clarity-omnibus-oct-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,047 RV@@1047",0.1576177,47,46,1
